higherGeography,materialSampleID,station_old,station
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",EE0321,ficaccia,Ficaccia
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",EE0322,punta_a_scopa,Punta A Scopa
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,EE0270,entrecasteaux,Entrecasteaux
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,EE0271,pouebo,Pouebo
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,EE0272,grand_lagoon_nord,Grand Lagoon Nord
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,EE0273,pouebo,Pouebo
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,EE0274,kouare,Kouare
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,EE0276,poe_zco,Poe Zco
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,EE0277,poe_zco,Poe Zco
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,EE0278,pouebo,Pouebo
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,EE0279,entrecasteaux,Entrecasteaux
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,EE0286,kouare,Kouare
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,EE0287,grand_lagoon_nord,Grand Lagoon Nord
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,EE0288,entrecasteaux,Entrecasteaux
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,EE0289,kouare,Kouare
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,EE0290,poe_zco,Poe Zco
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,EE0291,pouebo,Pouebo
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,EE0292,poe_zco,Poe Zco
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,EE0293,grand_lagoon_nord,Grand Lagoon Nord
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,EE0295,kouare,Kouare
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,EE0298,entrecasteaux,Entrecasteaux
Lord Howe Island Group,EE0079,sylphs_hole,Sylphs Hole
Lord Howe Island Group,EE0130,erscotts_hole,Erscotts Hole
Lord Howe Island Group,EE0132,erscotts_hole,Erscotts Hole
Lord Howe Island Group,EE0138,erscotts_hole,Erscotts Hole
Lord Howe Island Group,EE0140,north_bay,North Bay
Lord Howe Island Group,EE0141,north_bay,North Bay
Lord Howe Island Group,EE0143,comets_hole,Comets Hole
Lord Howe Island Group,EE0145,sylphs_hole,Sylphs Hole
Lord Howe Island Group,EE0146,far_rocks,Far Rocks
Lord Howe Island Group,EE0340,far_rocks,Far Rocks
Lord Howe Island Group,EE0341,comets_hole,Comets Hole
Lord Howe Island Group,EE0352,far_rocks,Far Rocks
Lord Howe Island Group,EE0353,far_rocks,Far Rocks
Lord Howe Island Group,EE0354,sylphs_hole,Sylphs Hole
Lord Howe Island Group,EE0355,north_bay,North Bay
Lord Howe Island Group,EE0366,north_bay,North Bay
Lord Howe Island Group,EE0367,erscotts_hole,Erscotts Hole
Lord Howe Island Group,EE0368,comets_hole,Comets Hole
Lord Howe Island Group,EE0369,comets_hole,Comets Hole
Lord Howe Island Group,EE0370,sylphs_hole,Sylphs Hole
Ningaloo Coast,EE0327,jurabi_coastal_park,Jurabi Coastal Park
Ningaloo Coast,EE0377,mangrove_bay,Mangrove Bay
Ningaloo Coast,EE0457,mangrove_bay,Mangrove Bay
Ningaloo Coast,EE0458,oyster_stacks,Oyster Stacks
Ningaloo Coast,EE0462,jurabi_coastal_park,Jurabi Coastal Park
Ningaloo Coast,EE0463,oyster_stacks,Oyster Stacks
Ningaloo Coast,EE0464,bundegi_beach,Bundegi Beach
Ningaloo Coast,EE0465,oyster_stacks,Oyster Stacks
Ningaloo Coast,EE0466,oyster_stacks,Oyster Stacks
Ningaloo Coast,EE0467,bundegi_beach,Bundegi Beach
Ningaloo Coast,EE0468,jurabi_coastal_park,Jurabi Coastal Park
Ningaloo Coast,EE0469,bundegi_beach,Bundegi Beach
Ningaloo Coast,EE0470,mangrove_bay,Mangrove Bay
Ningaloo Coast,EE0471,oyster_stacks,Oyster Stacks
Ningaloo Coast,EE0481,jurabi_coastal_park,Jurabi Coastal Park
Ningaloo Coast,EE0482,osprey_bay,Osprey Bay
Ningaloo Coast,EE0483,osprey_bay,Osprey Bay
Ningaloo Coast,EE0484,osprey_bay,Osprey Bay
Ningaloo Coast,EE0485,mangrove_bay,Mangrove Bay
Ningaloo Coast,EE0486,bundegi_beach,Bundegi Beach
Peninsula Valdès,EE0199,valdes_station_1,Valdes Station 1
Peninsula Valdès,EE0200,valdes_station_3,Valdes Station 3
Peninsula Valdès,EE0201,valdes_station_1,Valdes Station 1
Peninsula Valdès,EE0202,valdes_station_1,Valdes Station 1
Peninsula Valdès,EE0203,valdes_station_1,Valdes Station 1
Peninsula Valdès,EE0204,valdes_station_4,Valdes Station 4
Peninsula Valdès,EE0205,valdes_station_2,Valdes Station 2
Peninsula Valdès,EE0206,valdes_station_4,Valdes Station 4
Peninsula Valdès,EE0216,valdes_station_2,Valdes Station 2
Peninsula Valdès,EE0217,valdes_station_2,Valdes Station 2
Peninsula Valdès,EE0218,valdes_station_2,Valdes Station 2
Peninsula Valdès,EE0219,valdes_station_4,Valdes Station 4
Peninsula Valdès,EE0220,valdes_station_5,Valdes Station 5
Peninsula Valdès,EE0231,valdes_station_3,Valdes Station 3
Peninsula Valdès,EE0232,valdes_station_5,Valdes Station 5
Peninsula Valdès,EE0233,valdes_station_3,Valdes Station 3
Peninsula Valdès,EE0234,valdes_station_3,Valdes Station 3
Peninsula Valdès,EE0235,valdes_station_4,Valdes Station 4
Peninsula Valdès,EE0236,valdes_station_5,Valdes Station 5
Peninsula Valdès,EE0252,valdes_station_5,Valdes Station 5
Sanganeb Marine National Park and Dungonab Bay \u2013 Mukkawar Island Marine National Park,EE0050,guba_khamsa,Guba Khamsa
Sanganeb Marine National Park and Dungonab Bay \u2013 Mukkawar Island Marine National Park,EE0054,jabal_mugarsum,Jabal Mugarsum
